"","source","target","weight","type"
"534","Blaze Ya Dead Homie","Lex the Hex Master","2","undirected"
"535","Chevy Woods","Wiz Khalifa","2","undirected"
"536","Pusha T","Logic","1","undirected"
"537","DJ Mustard","James Fauntleroy","1","undirected"
"538","Rod Stewart","A$AP Rocky","1","undirected"
"539","Rick Ross","Nas","2","undirected"
"540","The Game","DJ Quik","2","undirected"
"541","Lady G","London Jae","1","undirected"
"542","Arcangel","Nicky Jam","1","undirected"
"543","Payso","J3","1","undirected"
"544","Rich Homie Quan","Lil Uzi Vert","1","undirected"
"545","Future","Charlie Heat","1","undirected"
"546","DJ Khaled","Drake","1","undirected"
"547","Big Smo","Corey Crowder","1","undirected"
"548","Boosie Badazz","Og Dre","1","undirected"
"549","La Coka Nostra","Vinnie Paz","1","undirected"
"550","Dave East","Smoke Dza","1","undirected"
"551","Ty Dolla $ign","Wiz Khalifa","6","undirected"
"552","Johnny Cinco","YFN Lucci","1","undirected"
"553","Atmosphere","Aesop Rock","1","undirected"
"554","JL B.Hood","Krizz Kaliko","1","undirected"
"555","Smiggz","Berner","1","undirected"
"556","Moonshine Bandits","Young Gunner","1","undirected"
"557","1st FKI","Post Malone","1","undirected"
"558","Acyde","Yams","1","undirected"
"559","Bun B","Slim Thug","1","undirected"
"560","Charlie Rock","Philthy Rich","1","undirected"
"561","Jadakiss","Young Adz","1","undirected"
"562","Gracy","Ruslan","1","undirected"
"563","Ty Dolla $ign","A$AP Ferg","1","undirected"
"564","Ghostface Killah","Mobb Deep","1","undirected"
"565","Jadakiss","Fat Joe","1","undirected"
"566","Flo Rida","Robin Thicke","1","undirected"
"567","NymLo","Pete Rock","1","undirected"
"568","Renee Elise Goldsberry","Original Broadway Cast of Hamilton","4","undirected"
"569","Rara","London Jae","1","undirected"
"570","Sage The Gemini","Kevin Gates","1","undirected"
"571","Hugh Augustine","Isaiah Rashad","1","undirected"
"572","A$AP Rocky","A$Ap Ant","1","undirected"
